region,pop,party
Hlavní město Praha,0.1247534872012377,0.10596400698414071
Středočeský kraj,0.13063223051648337,0.08608225592877716
Jihočeský kraj,0.06013496637053828,0.06826353673823178
Plzeňský kraj,0.0552283046077301,0.109871947390493
Karlovarský kraj,0.027407691264731082,0.06580164690501988
Ústecký kraj,0.07634283540013963,0.08540203809505328
Liberecký kraj,0.041346030663879464,0.10491482075769454
Královéhradecký kraj,0.051468368290611924,0.06277879010885953
Pardubický kraj,0.04885693282526818,0.0850575891858898
Kraj Vysočina,0.04754836509861867,0.08616309903096409
Jihomoravský kraj,0.11169425414115805,0.06643838325981051
Olomoucký kraj,0.058917505008747616,0.0750542804109864
Moravskoslezský kraj,0.1114613021743959,0.0962094142427668
Zlínský kraj,0.05420772643646004,0.11105977069120854
